 stim.amp numofspikes
71
0 0
0.05 1
0.1 1
0.15 3
0.2 4
0.25 4
0.3 4
0.35 4
0.4 4
0.45 5
0.5 5
0.55 5
0.6 5
0.65 5
0.7 5
0.75 5
0.8 5
0.85 5
0.9 6
0.95 6
1 6
1.05 6
1.1 6
1.15 6
1.2 6
1.25 6
1.3 6
1.35 6
1.4 6
1.45 6
1.5 6
1.55 7
1.6 7
1.65 7
1.7 7
1.75 7
1.8 7
1.85 7
1.9 7
1.95 7
2 7
2.05 7
2.1 7
2.15 7
2.2 7
2.25 7
2.3 7
2.35 7
2.4 7
2.45 8
2.5 8
2.55 8
2.6 8
2.65 8
2.7 8
2.75 8
2.8 8
2.85 8
2.9 8
2.95 8
3 8
3.05 8
3.1 8
3.15 8
3.2 8
3.25 8
3.3 8
3.35 8
3.4 8
3.45 8
3.5 8
